"","Country_Region","Confirmed","Deaths","Recovered","Date","Region"
"331","Tanzania",6,0,0,"03-20-2020","East"
"332","Central African Republic",3,0,0,"03-20-2020","Central"
"333","Congo (Brazzaville)",3,0,0,"03-20-2020","Central"
"334","Gabon",3,1,0,"03-20-2020","Central"
"335","Madagascar",3,0,0,"03-20-2020","East"
"336","Namibia",3,0,0,"03-20-2020","South"
"337","Benin",2,0,0,"03-20-2020","West"
"338","Liberia",2,0,0,"03-20-2020","West"
"339","Mauritania",2,0,0,"03-20-2020","North"
"340","Sudan",2,1,0,"03-20-2020","East"
"341","Zambia",2,0,0,"03-20-2020","South"
"342","Angola",1,0,0,"03-20-2020","South"
"343","Cabo Verde",1,0,0,"03-20-2020","West"
"344","Chad",1,0,0,"03-20-2020","Central"
"345","Djibouti",1,0,0,"03-20-2020","East"
"346","Eswatini",1,0,0,"03-20-2020","South"
"347","Guinea",1,0,0,"03-20-2020","West"
"348","Niger",1,0,0,"03-20-2020","West"
"349","Somalia",1,0,0,"03-20-2020","East"
"350","Zimbabwe",1,0,0,"03-20-2020","West"
"351","Egypt",294,10,41,"03-21-2020","North"
"352","South Africa",240,0,0,"03-21-2020","South"
"353","Algeria",139,15,32,"03-21-2020","North"
"354","Morocco",96,3,3,"03-21-2020","North"
"355","Burkina Faso",64,2,5,"03-21-2020","West"
"356","Tunisia",60,1,0,"03-21-2020","North"
"357","Senegal",47,0,5,"03-21-2020","West"
"358","Cameroon",27,0,0,"03-21-2020","Central"
"359","Congo (Kinshasa)",23,1,0,"03-21-2020","Central"
"360","Nigeria",22,0,1,"03-21-2020","West"
"361","Ghana",19,1,0,"03-21-2020","West"
"362","Rwanda",17,0,0,"03-21-2020","East"
"363","Togo",16,0,1,"03-21-2020","West"
"364","Cote d'Ivoire",14,0,1,"03-21-2020","West"
"365","Mauritius",14,1,0,"03-21-2020","East"
"366","Ethiopia",9,0,0,"03-21-2020","East"
"367","Kenya",7,0,0,"03-21-2020","East"
"368","Seychelles",7,0,0,"03-21-2020","East"
"369","Equatorial Guinea",6,0,0,"03-21-2020","Central"
"370","Tanzania",6,0,0,"03-21-2020","East"
"371","Gabon",4,1,0,"03-21-2020","Central"
"372","Cabo Verde",3,0,0,"03-21-2020","West"
"373","Central African Republic",3,0,0,"03-21-2020","Central"
"374","Congo (Brazzaville)",3,0,0,"03-21-2020","Central"
"375","Liberia",3,0,0,"03-21-2020","West"
"376","Madagascar",3,0,0,"03-21-2020","East"
"377","Namibia",3,0,0,"03-21-2020","South"
"378","Zimbabwe",3,0,0,"03-21-2020","West"
"379","Angola",2,0,0,"03-21-2020","South"
"380","Benin",2,0,0,"03-21-2020","West"
"381","Guinea",2,0,0,"03-21-2020","West"
"382","Mauritania",2,0,0,"03-21-2020","North"
"383","Sudan",2,1,0,"03-21-2020","East"
"384","Zambia",2,0,0,"03-21-2020","South"
"385","Chad",1,0,0,"03-21-2020","Central"
"386","Djibouti",1,0,0,"03-21-2020","East"
"387","Eritrea",1,0,0,"03-21-2020","East"
"388","Eswatini",1,0,0,"03-21-2020","South"
"389","Niger",1,0,0,"03-21-2020","West"
"390","Somalia",1,0,0,"03-21-2020","East"
"391","Uganda",1,0,0,"03-21-2020","East"
"392","Egypt",327,14,56,"03-22-2020","North"
"393","South Africa",274,0,2,"03-22-2020","South"
"394","Algeria",201,17,65,"03-22-2020","North"
"395","Morocco",115,4,3,"03-22-2020","North"
"396","Burkina Faso",75,4,5,"03-22-2020","West"
"397","Tunisia",75,3,1,"03-22-2020","North"
"398","Senegal",67,0,5,"03-22-2020","West"
"399","Cameroon",40,0,2,"03-22-2020","Central"
"400","Congo (Kinshasa)",30,1,0,"03-22-2020","Central"
"401","Nigeria",30,0,2,"03-22-2020","West"
"402","Mauritius",28,2,0,"03-22-2020","East"
"403","Ghana",23,1,0,"03-22-2020","West"
"404","Rwanda",19,0,0,"03-22-2020","East"
"405","Togo",16,0,0,"03-22-2020","West"
"406","Kenya",15,0,0,"03-22-2020","East"
"407","Cote d'Ivoire",14,0,1,"03-22-2020","West"
"408","Tanzania",12,0,0,"03-22-2020","East"
"409","Ethiopia",11,0,0,"03-22-2020","East"
"410","Seychelles",7,0,0,"03-22-2020","East"
"411","Equatorial Guinea",6,0,0,"03-22-2020","Central"
"412","Gabon",5,1,0,"03-22-2020","Central"
"413","Eswatini",4,0,0,"03-22-2020","South"
"414","Cabo Verde",3,0,0,"03-22-2020","West"
"415","Central African Republic",3,0,0,"03-22-2020","Central"
"416","Congo (Brazzaville)",3,0,0,"03-22-2020","Central"
"417","Liberia",3,0,0,"03-22-2020","West"
"418","Madagascar",3,0,0,"03-22-2020","East"
"419","Namibia",3,0,0,"03-22-2020","South"
"420","Zambia",3,0,0,"03-22-2020","South"
"421","Zimbabwe",3,0,0,"03-22-2020","West"
"422","Sudan",2,1,0,"03-22-2020","East"
"423","Angola",2,0,0,"03-22-2020","South"
"424","Benin",2,0,0,"03-22-2020","West"
"425","Guinea",2,0,0,"03-22-2020","West"
"426","Mauritania",2,0,0,"03-22-2020","North"
"427","Niger",2,0,0,"03-22-2020","West"
"428","Chad",1,0,0,"03-22-2020","Central"
"429","Djibouti",1,0,0,"03-22-2020","East"
"430","Eritrea",1,0,0,"03-22-2020","East"
"431","Gambia",1,0,0,"03-22-2020","West"
"432","Mozambique",1,0,0,"03-22-2020","South"
"433","Somalia",1,0,0,"03-22-2020","East"
"434","Uganda",1,0,0,"03-22-2020","East"
"435","Algeria",230,17,65,"03-23-2020","North"
"436","Angola",3,0,0,"03-23-2020","South"
"437","Benin",5,0,0,"03-23-2020","West"
"438","Burkina Faso",99,4,5,"03-23-2020","West"
"439","Cabo Verde",3,0,0,"03-23-2020","West"
"440","Cameroon",56,0,2,"03-23-2020","Central"
"441","Central African Republic",3,0,0,"03-23-2020","Central"
"442","Chad",1,0,0,"03-23-2020","Central"
"443","Congo (Brazzaville)",4,0,0,"03-23-2020","Central"
"444","Congo (Kinshasa)",36,1,0,"03-23-2020","Central"
"445","Cote d'Ivoire",25,0,2,"03-23-2020","West"
"446","Djibouti",3,0,0,"03-23-2020","East"
"447","Egypt",366,19,68,"03-23-2020","North"
"448","Equatorial Guinea",9,0,0,"03-23-2020","Central"
"449","Eritrea",1,0,0,"03-23-2020","East"
"450","Eswatini",4,0,0,"03-23-2020","South"
"451","Ethiopia",11,0,0,"03-23-2020","East"
"452","Gabon",5,1,0,"03-23-2020","Central"
"453","Gambia",2,1,0,"03-23-2020","West"
"454","Ghana",27,2,0,"03-23-2020","West"
"455","Guinea",4,0,0,"03-23-2020","West"
"456","Kenya",16,0,0,"03-23-2020","East"
"457","Liberia",3,0,0,"03-23-2020","West"
"458","Madagascar",12,0,0,"03-23-2020","East"
"459","Mauritania",2,0,0,"03-23-2020","North"
"460","Mauritius",36,2,0,"03-23-2020","East"
"461","Morocco",143,4,5,"03-23-2020","North"
"462","Mozambique",1,0,0,"03-23-2020","South"
"463","Namibia",4,0,0,"03-23-2020","South"
"464","Niger",3,0,0,"03-23-2020","West"
"465","Nigeria",40,1,2,"03-23-2020","West"
"466","Rwanda",36,0,0,"03-23-2020","East"
"467","Senegal",79,0,8,"03-23-2020","West"
"468","Seychelles",7,0,0,"03-23-2020","East"
"469","Somalia",1,0,0,"03-23-2020","East"
"470","South Africa",402,0,4,"03-23-2020","South"
"471","Sudan",2,1,0,"03-23-2020","East"
"472","Tanzania",12,0,0,"03-23-2020","East"
"473","Togo",18,0,0,"03-23-2020","West"
"474","Tunisia",89,3,1,"03-23-2020","North"
"475","Uganda",9,0,0,"03-23-2020","East"
"476","Zambia",3,0,0,"03-23-2020","South"
"477","Zimbabwe",3,1,0,"03-23-2020","West"
"478","Algeria",264,19,24,"03-24-2020","North"
"479","Angola",3,0,0,"03-24-2020","South"
"480","Benin",6,0,0,"03-24-2020","West"
"481","Burkina Faso",114,4,7,"03-24-2020","West"
"482","Cabo Verde",3,1,0,"03-24-2020","West"
"483","Cameroon",66,0,2,"03-24-2020","Central"
"484","Central African Republic",3,0,0,"03-24-2020","Central"
"485","Chad",3,0,0,"03-24-2020","Central"
"486","Congo (Brazzaville)",4,0,0,"03-24-2020","Central"
"487","Congo (Kinshasa)",45,2,0,"03-24-2020","Central"
"488","Cote d'Ivoire",73,0,2,"03-24-2020","West"
"489","Djibouti",3,0,0,"03-24-2020","East"
"490","Egypt",402,20,80,"03-24-2020","North"
"491","Equatorial Guinea",9,0,0,"03-24-2020","Central"
"492","Eritrea",1,0,0,"03-24-2020","East"
"493","Eswatini",4,0,0,"03-24-2020","South"
"494","Ethiopia",12,0,0,"03-24-2020","East"
"495","Gabon",6,1,0,"03-24-2020","Central"
"496","Gambia",3,1,0,"03-24-2020","West"
"497","Ghana",53,2,0,"03-24-2020","West"
"498","Guinea",4,0,0,"03-24-2020","West"
"499","Kenya",25,0,0,"03-24-2020","East"
"500","Liberia",3,0,0,"03-24-2020","West"
"501","Libya",1,0,0,"03-24-2020","North"
"502","Madagascar",17,0,0,"03-24-2020","East"
"503","Mauritania",2,0,0,"03-24-2020","North"
"504","Mauritius",42,2,0,"03-24-2020","East"
"505","Morocco",170,5,6,"03-24-2020","North"
"506","Mozambique",3,0,0,"03-24-2020","South"
"507","Namibia",7,0,2,"03-24-2020","South"
"508","Niger",3,0,0,"03-24-2020","West"
"509","Nigeria",44,1,2,"03-24-2020","West"
"510","Rwanda",40,0,0,"03-24-2020","East"
"511","Senegal",86,0,8,"03-24-2020","West"
"512","Seychelles",7,0,0,"03-24-2020","East"
"513","Somalia",1,0,0,"03-24-2020","East"
"514","South Africa",554,0,4,"03-24-2020","South"
"515","Sudan",3,1,0,"03-24-2020","East"
"516","Tanzania",12,0,0,"03-24-2020","East"
"517","Togo",20,0,1,"03-24-2020","West"
"518","Tunisia",114,4,1,"03-24-2020","North"
"519","Uganda",9,0,0,"03-24-2020","East"
"520","Zambia",3,0,0,"03-24-2020","South"
"521","Zimbabwe",3,1,0,"03-24-2020","West"
"522","Algeria",302,21,65,"03-25-2020","North"
"523","Angola",3,0,0,"03-25-2020","South"
"524","Benin",6,0,0,"03-25-2020","West"
"525","Burkina Faso",146,4,10,"03-25-2020","West"
"526","Cabo Verde",4,1,0,"03-25-2020","West"
"527","Cameroon",75,1,2,"03-25-2020","Central"
"528","Central African Republic",3,0,0,"03-25-2020","Central"
"529","Chad",3,0,0,"03-25-2020","Central"
